KalmanPitch,KalmanYaw,LinearAccelMag,TotalAccelMag,GyroMag,lat,lng,kecepatan,sat,throttle,arus,millis
6.30,-9.24,0.62,10.05,0.44,-6.910308,107.675446,0.17,12,0,10.68,678017
6.31,-9.10,1.59,9.81,0.50,-6.910308,107.675446,0.26,12,0,9.16,678227
6.33,-9.26,0.88,9.86,1.33,-6.910308,107.675446,0.26,12,0,9.16,678434
6.23,-10.14,0.54,10.03,5.00,-6.910308,107.675446,0.28,12,0,10.68,678642
6.27,-10.45,0.59,9.93,2.23,-6.910307,107.675446,0.13,12,0,10.68,678850
6.31,-8.90,1.69,10.20,6.56,-6.910307,107.675446,0.15,12,0,9.16,679057
6.28,-8.02,1.14,10.06,3.56,-6.910307,107.675446,0.15,12,0,9.16,679264
6.30,-8.99,2.71,9.98,4.79,-6.910307,107.675446,0.13,12,0,9.16,679471
6.37,-9.23,2.17,9.88,1.43,-6.910307,107.675446,0.07,12,0,12.21,679681
6.38,-9.93,0.55,9.80,4.07,-6.910307,107.675446,0.07,12,0,9.16,679889
6.40,-9.69,0.90,9.83,0.73,-6.910307,107.675446,0.19,12,0,10.68,680096
6.41,-9.52,0.48,10.05,0.52,-6.910307,107.675446,0.11,12,0,9.16,680304
6.43,-9.83,0.59,9.95,2.23,-6.910307,107.675446,0.11,12,0,9.16,680511
6.52,-10.67,2.00,9.81,4.47,-6.910307,107.675446,0.15,12,0,9.16,680719
6.51,-10.76,1.22,9.83,1.35,-6.910307,107.675446,0.09,12,0,10.68,680926
6.53,-10.52,0.62,9.84,0.70,-6.910307,107.675446,0.06,12,0,7.63,681135
6.49,-10.50,0.64,10.08,0.69,-6.910307,107.675446,0.35,12,0,10.68,681342
6.53,-10.35,0.44,10.06,0.66,-6.910307,107.675446,0.35,12,0,9.16,681549
6.45,-10.30,0.76,10.05,0.55,-6.910307,107.675446,0.09,12,0,10.68,681756
6.41,-10.08,0.40,9.91,0.39,-6.910307,107.675446,0.07,12,0,9.16,681963
6.51,-9.73,0.50,9.92,1.34,-6.910307,107.675446,0.06,12,0,9.16,682170
6.57,-9.55,0.51,9.87,0.68,-6.910307,107.675446,0.15,12,0,9.16,682377
6.64,-9.37,0.57,9.97,0.78,-6.910307,107.675446,0.26,12,0,9.16,682586
6.60,-8.79,0.53,9.91,2.04,-6.910307,107.675446,0.26,12,0,10.68,682793
6.60,-9.21,1.33,9.82,2.51,-6.910307,107.675446,0.26,12,0,7.63,683000
6.58,-9.68,1.33,9.86,2.81,-6.910307,107.675446,0.26,12,0,9.16,683207
6.58,-10.02,0.62,9.97,2.32,-6.910306,107.675446,0.22,12,0,7.63,683414
6.53,-10.22,0.93,9.81,1.56,-6.910306,107.675446,0.04,12,0,9.16,683621
6.57,-10.10,0.44,9.96,0.63,-6.910306,107.675446,0.09,12,0,10.68,683828
6.59,-10.40,0.86,10.13,2.28,-6.910306,107.675446,0.19,12,0,9.16,684037
6.63,-10.45,0.77,9.94,1.04,-6.910306,107.675446,0.20,12,0,6.10,684244
6.57,-10.50,0.72,9.79,1.07,-6.910306,107.675446,0.20,12,0,10.68,684453
6.58,-10.51,0.83,9.75,0.88,-6.910306,107.675446,0.09,12,0,0.00,684659
6.66,-10.26,0.40,9.91,0.94,-6.910306,107.675446,0.09,12,0,7.63,684866
6.66,-10.32,0.79,9.90,1.01,-6.910306,107.675438,0.17,12,0,0.00,685073
6.63,-10.27,0.65,9.77,0.49,-6.910306,107.675438,0.11,12,0,10.68,685280
6.66,-10.30,0.75,9.88,0.92,-6.910306,107.675438,0.20,12,0,10.68,685489
6.65,-10.20,0.59,9.83,0.46,-6.910306,107.675438,0.07,12,0,10.68,685697
6.63,-10.15,0.56,9.84,0.53,-6.910306,107.675438,0.22,12,0,9.16,685904
6.64,-10.06,0.68,9.88,0.41,-6.910306,107.675438,0.13,12,0,9.16,686111
6.65,-10.09,0.69,9.89,0.97,-6.910306,107.675438,0.13,12,0,9.16,686318
6.66,-10.09,0.63,9.85,0.78,-6.910306,107.675438,0.15,12,0,10.68,686525
6.64,-10.12,0.65,9.79,0.94,-6.910305,107.675438,0.20,12,0,9.16,686734
6.64,-10.13,0.64,9.88,0.82,-6.910305,107.675438,0.20,12,0,7.63,686942
6.60,-9.62,0.50,9.78,1.81,-6.910305,107.675438,0.13,12,0,9.16,687149
6.62,-9.56,0.65,9.87,0.55,-6.910305,107.675438,0.06,12,0,9.16,687356
6.61,-9.54,0.73,9.82,0.56,-6.910305,107.675438,0.06,12,0,6.10,687563
6.62,-9.57,0.65,9.84,0.87,-6.910305,107.675438,0.17,12,0,9.16,687771
